age,overall,potential,international_reputation,weak_foot,skill_moves,work_rate,pace,shooting,dribbling,physic,attacking_crossing,attacking_heading_accuracy,attacking_volleys,skill_curve,skill_long_passing,movement_agility,movement_reactions,power_shot_power,power_stamina,power_strength,power_long_shots,mentality_positioning,mentality_penalties,mentality_composure_boxcox,passing_boxcox,mentality_vision_boxcox,value_eur_boxcox,wage_eur_boxcox,skill_fk_accuracy_boxcox,defending_boxcox,mentality_aggression_boxcox,defending_marking_boxcox,mentality_interceptions_boxcox,defending_standing_tackle_boxcox,pca_0,pca_1,position1_RW position2_ LW,position1_LW,position1_LW position2_ RW,position2_ LW,position1_LW preferred_foot_Right,position1_RW preferred_foot_Left,position1_RW,position2_ LW preferred_foot_Right,position2_ ST,position1_ST preferred_foot_Right,position1_ST,position1_ST position2_NA,position2_NA preferred_foot_Right,position2_NA
21.0,82.0,87.0,2.0,2.0,4.0,1.0,89.0,75.0,85.0,73.0,74.0,60.0,67.0,77.0,62.0,79.0,81.0,83.0,81.0,80.0,72.0,78.0,61.0,2.4006642350850753,3.788780649072615,2.482910643351625,32.225670678724796,9.724282195750991,1.647484519519154,1.6382224343489344,2.807873324028849,3.8037008122729454,2.1474546562761683,2.5809018180763257,3.9002985670097203,1.052323276342852,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
23.0,82.0,86.0,3.0,3.0,4.0,2.0,93.0,76.0,83.0,66.0,75.0,58.0,74.0,72.0,67.0,91.0,83.0,76.0,82.0,59.0,74.0,81.0,73.0,2.3972057885982596,3.7581084795692794,2.464212036551792,32.1191958202361,9.88216625415685,1.6459226098973267,1.641810592110467,3.0013861682475116,3.6054656468827866,2.237728156165738,2.6467247269776513,4.074213512596106,0.38812264034468147,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
21.0,81.0,89.0,1.0,4.0,4.0,2.0,81.0,77.0,82.0,83.0,56.0,82.0,69.0,76.0,73.0,86.0,78.0,79.0,78.0,84.0,69.0,82.0,66.0,2.4006642350850753,3.7038821685383696,2.471881442890435,31.895549268181302,10.685849803715746,1.561674260016329,1.6382224343489344,3.134461164930834,3.8722947455701378,2.1159500510451563,2.3871566370309916,2.8288815838166963,1.8888793888116844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
22.0,81.0,86.0,2.0,3.0,5.0,1.0,87.0,73.0,87.0,65.0,67.0,45.0,72.0,70.0,69.0,91.0,79.0,74.0,76.0,64.0,67.0,78.0,69.0,2.41069717876765,3.7581084795692794,2.489967930848208,31.529234321398622,9.88216625415685,1.621546632405492,1.6223825722473741,2.9517089545544004,3.560064316576236,2.157157065982224,2.598256772883575,3.60683169079511,1.0779727548685314,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.0,80.0,93.0,1.0,4.0,5.0,2.0,82.0,80.0,81.0,70.0,73.0,69.0,79.0,81.0,67.0,83.0,83.0,82.0,79.0,64.0,80.0,84.0,68.0,2.4171166806857496,3.7684791289532353,2.4756192791028773,32.00923692992376,10.240280329022982,1.6338459868174404,1.6382224343489344,3.0388024591484744,3.2914889981485307,2.1842144615275356,2.743019296624534,3.0242286452121827,1.7188090706036028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
22.0,80.0,86.0,2.0,5.0,4.0,2.0,83.0,77.0,84.0,76.0,67.0,52.0,75.0,76.0,68.0,87.0,81.0,82.0,80.0,71.0,74.0,82.0,63.0,2.423334802111257,3.726065858047168,2.4602764430523325,31.043465763000004,10.986389537721866,1.6338459868174404,1.676503343217628,3.14011691651878,3.8213411281015497,2.2923846695859758,2.8708138928086346,2.858038033718062,1.202913934081467,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
22.0,80.0,85.0,1.0,3.0,4.0,2.0,82.0,77.0,76.0,81.0,50.0,76.0,69.0,69.0,48.0,78.0,77.0,80.0,74.0,86.0,66.0,82.0,82.0,2.3972057885982596,3.620384086261647,2.4395004728599083,30.967830516091993,10.828516327033256,1.5921064073932165,1.5928313209959937,3.0797329642771345,3.536488086401089,1.9907918488466652,2.1133781144904193,2.84797606066129,1.6629258749260443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
23.0,80.0,85.0,1.0,4.0,3.0,2.0,77.0,79.0,78.0,72.0,73.0,77.0,75.0,69.0,65.0,75.0,79.0,80.0,75.0,71.0,74.0,83.0,67.0,2.371207047886076,3.71505947009366,2.4395004728599083,30.967830516091993,9.98529214428096,1.6279555338586442,1.676503343217628,3.0388024591484744,3.7857112383160754,2.297716709956785,2.789929462685774,2.318109544486443,2.25843286944641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
22.0,80.0,85.0,1.0,3.0,3.0,2.0,64.0,80.0,72.0,79.0,59.0,86.0,76.0,68.0,63.0,55.0,78.0,79.0,79.0,85.0,75.0,85.0,67.0,2.4074082590193338,3.7038821685383696,2.4480399959475854,30.967830516091993,10.288626419842087,1.6319358029636863,1.603614402736107,3.009136351635666,3.435587834567624,1.972769276095106,2.3312135091829096,1.0982251612480767,3.6651108003798663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
18.0,79.0,92.0,2.0,4.0,5.0,2.0,93.0,70.0,85.0,63.0,71.0,50.0,70.0,77.0,67.0,93.0,77.0,74.0,79.0,60.0,68.0,76.0,65.0,2.4006642350850753,3.7369063321857023,2.4602764430523325,31.329728385585526,10.670308352850698,1.6410052857720987,1.5870200836401955,2.8538925239963984,3.3518715062468516,2.0534161915355966,2.4607388081473687,3.5753196071396025,-0.3861802761708214,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
21.0,79.0,87.0,2.0,4.0,4.0,2.0,85.0,74.0,83.0,64.0,72.0,50.0,68.0,74.0,60.0,86.0,78.0,81.0,76.0,60.0,78.0,76.0,62.0,2.3972057885982596,3.7369063321857023,2.4602764430523325,30.729842644898508,10.460360379101076,1.6120546582770023,1.6518210276354588,2.9854531935071913,4.009943243895295,2.1045487405875205,2.631129548772585,2.9722933727908907,0.567640535444568,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.0,79.0,86.0,2.0,4.0,5.0,2.0,93.0,70.0,87.0,63.0,66.0,53.0,59.0,70.0,72.0,93.0,78.0,80.0,77.0,66.0,69.0,74.0,58.0,2.413932817610263,3.726065858047168,2.4480399959475854,30.56096037889942,10.399589624637317,1.6068364540216953,1.5444119818719417,2.6991658877839786,3.1573334778160134,1.8344046503782445,2.196528005162929,3.7310243812410135,-0.19181728972232465,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
23.0,79.0,86.0,1.0,3.0,4.0,2.0,91.0,76.0,79.0,74.0,76.0,48.0,63.0,72.0,68.0,92.0,77.0,83.0,91.0,73.0,81.0,76.0,69.0,2.367211645999765,3.7787018383804853,2.4756192791028773,30.56096037889942,9.067620471467485,1.6625473114613705,1.6663869235093347,2.9338026422851633,4.009943243895295,2.2636404105823718,2.717550844594457,3.7566488338468695,0.2674018760577635,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
20.0,79.0,86.0,3.0,4.0,4.0,1.0,90.0,68.0,84.0,58.0,69.0,40.0,70.0,69.0,59.0,87.0,77.0,77.0,77.0,51.0,58.0,73.0,61.0,2.371207047886076,3.726065858047168,2.464212036551792,30.646496414514075,10.997495994135281,1.6338459868174404,1.6223825722473741,2.8198228302242483,3.5122873890436455,2.1373712961864126,2.598256772883575,3.330500514134787,-0.043026183389000695,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.0,79.0,85.0,1.0,4.0,3.0,2.0,90.0,78.0,83.0,63.0,73.0,52.0,76.0,74.0,67.0,90.0,78.0,84.0,74.0,58.0,77.0,75.0,65.0,2.3901071149010584,3.7369063321857023,2.4395004728599083,30.56096037889942,10.078203563969014,1.6505012639124743,1.6518210276354588,3.0242276714973846,3.8556259819623597,2.1926187831241486,2.6764006978370904,3.7645075215293224,0.8655435737288152,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.0,79.0,85.0,1.0,3.0,3.0,2.0,77.0,76.0,73.0,88.0,58.0,75.0,74.0,57.0,68.0,53.0,74.0,84.0,81.0,95.0,73.0,78.0,69.0,2.4040644897009384,3.7038821685383696,2.452192723594851,30.56096037889942,10.685849803715746,1.6145395681251855,1.6306196274567961,3.128726327352564,3.435587834567624,2.1755155078023227,2.6764006978370904,2.1043583899152978,1.7333979456413462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
23.0,79.0,84.0,2.0,3.0,4.0,2.0,84.0,77.0,81.0,66.0,73.0,75.0,80.0,81.0,62.0,84.0,77.0,76.0,74.0,66.0,75.0,78.0,66.0,2.41069717876765,3.7787018383804853,2.471881442890435,30.47311190834695,9.63413822309376,1.649010285056167,1.617997928600929,2.9517089545544004,3.5122873890436455,2.039002486113477,2.5042506987122697,3.47090276412476,1.6145116446832324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
23.0,79.0,84.0,2.0,3.0,4.0,1.0,77.0,75.0,78.0,75.0,59.0,77.0,79.0,69.0,58.0,76.0,81.0,76.0,76.0,73.0,60.0,84.0,80.0,2.3936873687713716,3.64524026512297,2.4395004728599083,30.47311190834695,10.33460038821119,1.561674260016329,1.6486024917801954,3.086182687184156,3.2268553762011907,2.297716709956785,2.717550844594457,2.0531567734615894,1.917878078835406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
22.0,79.0,84.0,1.0,3.0,4.0,2.0,89.0,74.0,82.0,70.0,76.0,45.0,72.0,81.0,67.0,87.0,80.0,80.0,82.0,63.0,74.0,79.0,73.0,2.4074082590193338,3.7684791289532353,2.4680796845666353,30.47311190834695,9.422903621045004,1.656142104741121,1.6663869235093347,3.073182145081887,3.669593204826089,2.297716709956785,2.8708138928086346,3.3780014891113144,0.19068220962547297,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.0,78.0,86.0,1.0,4.0,3.0,1.0,82.0,75.0,82.0,50.0,83.0,58.0,69.0,80.0,65.0,84.0,71.0,82.0,67.0,51.0,82.0,73.0,64.0,2.367211645999765,3.7684791289532353,2.4602764430523325,30.194296638233332,10.162738632295264,1.6505012639124743,1.6265857665365608,2.536851558409548,3.6273464341756405,2.0926387391240224,2.614985836526234,2.397276780110277,0.7516996710880712,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
20.0,78.0,85.0,3.0,2.0,5.0,1.0,74.0,69.0,85.0,49.0,86.0,52.0,68.0,78.0,76.0,78.0,74.0,76.0,72.0,40.0,75.0,62.0,63.0,2.4040644897009384,3.8464385903140315,2.5001431732152706,29.99406114280086,9.845111623926627,1.6649324387364342,1.6382224343489344,2.770031620929496,3.5122873890436455,2.2574287078800133,2.6467247269776513,1.6904630492918122,1.2322913773201578,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
22.0,78.0,85.0,1.0,4.0,3.0,2.0,82.0,75.0,73.0,77.0,39.0,81.0,73.0,53.0,41.0,70.0,76.0,73.0,65.0,85.0,63.0,81.0,74.0,2.358985601014023,3.511475869676314,2.396629382113392,30.095736788837577,9.98529214428096,1.5570612478550403,1.6134184734317776,3.052892616746913,3.2597402869725545,2.0534161915355966,2.5809018180763257,2.4158545140907184,1.4496758208530098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
22.0,78.0,84.0,1.0,4.0,3.0,2.0,78.0,75.0,76.0,81.0,44.0,74.0,67.0,52.0,56.0,69.0,72.0,81.0,75.0,85.0,62.0,77.0,61.0,2.3864630823972273,3.607629034238105,2.4214082237817545,29.99406114280086,10.311895322655495,1.5818604148991797,1.6486024917801954,3.098790167244626,3.2597402869725545,2.237728156165738,2.811620383848271,2.4454078204559195,1.9931339489947915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
23.0,78.0,82.0,2.0,1.0,4.0,2.0,87.0,73.0,83.0,66.0,64.0,64.0,75.0,78.0,69.0,88.0,72.0,76.0,73.0,64.0,66.0,78.0,69.0,2.3864630823972273,3.7369063321857023,2.4602764430523325,29.78049516161257,10.685849803715746,1.6587843600212737,1.6486024917801954,2.9689091273450323,3.5122873890436455,2.237728156165738,2.717550844594457,3.2884780344015807,0.8262627764695714,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
21.0,77.0,87.0,1.0,3.0,3.0,1.0,73.0,74.0,74.0,69.0,48.0,76.0,72.0,68.0,34.0,69.0,74.0,74.0,68.0,73.0,62.0,80.0,68.0,2.382753237789252,3.554245712291283,2.380423874938849,29.99406114280086,10.63842839684387,1.595268090699677,1.5870200836401955,2.9689091273450323,3.4618752396127466,1.8042115375086012,2.3312135091829096,1.7088378484991025,2.2545128086729087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
22.0,77.0,86.0,1.0,4.0,4.0,2.0,90.0,70.0,82.0,67.0,74.0,45.0,64.0,62.0,70.0,89.0,72.0,73.0,86.0,62.0,69.0,71.0,68.0,2.4006642350850753,3.7475856781777663,2.464212036551792,29.78049516161257,9.917814634659484,1.6505012639124743,1.645268042229408,2.9517089545544004,3.6054656468827866,2.2086107679522375,2.743019296624534,3.2149727649812356,-0.0957174840508136,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
23.0,77.0,84.0,2.0,3.0,3.0,2.0,77.0,75.0,76.0,71.0,40.0,79.0,72.0,69.0,55.0,75.0,76.0,79.0,71.0,70.0,66.0,80.0,71.0,2.3972057885982596,3.594645936057005,2.401796825634851,29.55161830259731,10.44053847292794,1.637517830954246,1.6344951701995893,3.0459062361156275,3.7857112383160754,2.023813556683207,2.5441303066232113,1.9536349302549318,1.635113021294891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
23.0,77.0,84.0,1.0,4.0,4.0,2.0,76.0,74.0,78.0,64.0,67.0,78.0,67.0,73.0,63.0,74.0,74.0,75.0,67.0,75.0,65.0,79.0,69.0,2.3972057885982596,3.7369063321857023,2.4602764430523325,29.55161830259731,9.534433228750194,1.6443231238591849,1.617997928600929,2.633649086018807,3.7673584361416337,1.972769276095106,2.3312135091829096,2.1697800256310527,2.105236095482295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
23.0,77.0,84.0,1.0,3.0,4.0,2.0,79.0,75.0,77.0,74.0,68.0,73.0,72.0,79.0,61.0,82.0,73.0,75.0,86.0,68.0,72.0,81.0,71.0,2.4040644897009384,3.71505947009366,2.456270754831897,29.55161830259731,9.7663081887645,1.649010285056167,1.641810592110467,3.059765154115313,3.690004171414334,2.1926187831241486,2.614985836526234,2.251928225094764,1.4284893161538148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
22.0,77.0,84.0,1.0,3.0,3.0,2.0,72.0,77.0,76.0,78.0,56.0,73.0,74.0,68.0,47.0,74.0,73.0,85.0,71.0,84.0,72.0,74.0,80.0,2.367211645999765,3.657355585998256,2.4260653230427836,29.55161830259731,9.63413822309376,1.6426845487593575,1.6223825722473741,3.0459062361156275,3.408523379599576,2.0926387391240224,2.614985836526234,1.6153112433999208,2.1508154403548607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
23.0,77.0,84.0,1.0,4.0,3.0,2.0,91.0,74.0,78.0,75.0,57.0,74.0,73.0,59.0,46.0,90.0,72.0,78.0,80.0,75.0,66.0,73.0,64.0,2.371207047886076,3.581426744075639,2.401796825634851,29.55161830259731,9.296373852710122,1.5921064073932165,1.6344951701995893,3.0013861682475116,3.4618752396127466,2.1755155078023227,2.6467247269776513,3.455806702386237,0.25188514209906065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
21.0,77.0,84.0,1.0,3.0,4.0,2.0,88.0,70.0,80.0,65.0,67.0,41.0,59.0,73.0,53.0,77.0,79.0,74.0,76.0,64.0,75.0,76.0,59.0,2.420250212916985,3.6809936765250417,2.4438101068993,29.55161830259731,9.226111390203178,1.6505012639124743,1.603614402736107,2.895641653318523,3.000250483928517,2.2086107679522375,2.6467247269776513,2.7821868624500685,-0.26545204712650966,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
22.0,77.0,83.0,1.0,3.0,3.0,2.0,84.0,70.0,75.0,79.0,65.0,81.0,65.0,59.0,44.0,72.0,75.0,77.0,80.0,81.0,63.0,77.0,72.0,2.371207047886076,3.64524026512297,2.4214082237817545,29.55161830259731,10.787955635264892,1.625880451868549,1.6306196274567961,3.066527246283598,3.5122873890436455,2.1474546562761683,2.5809018180763257,2.48156468038846,0.3951568184731523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
22.0,77.0,83.0,1.0,4.0,3.0,1.0,69.0,75.0,77.0,68.0,60.0,75.0,72.0,56.0,65.0,74.0,76.0,78.0,72.0,75.0,71.0,80.0,74.0,2.4171166806857496,3.71505947009366,2.435108384088105,29.55161830259731,9.80653557249762,1.6338459868174404,1.6306196274567961,2.807873324028849,3.560064316576236,2.1755155078023227,2.5441303066232113,1.490203973462268,2.685447792776632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
22.0,77.0,83.0,1.0,3.0,4.0,1.0,83.0,71.0,81.0,70.0,75.0,51.0,65.0,74.0,65.0,83.0,70.0,70.0,78.0,65.0,73.0,72.0,71.0,2.3972057885982596,3.7369063321857023,2.464212036551792,29.430691374991035,9.7663081887645,1.5818604148991797,1.6991893447074014,3.052892616746913,4.104177608507098,2.281322250883309,2.983193430219313,2.685843921233326,0.6816492193250019,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
19.0,76.0,89.0,1.0,3.0,3.0,1.0,81.0,72.0,77.0,68.0,42.0,72.0,70.0,66.0,38.0,74.0,72.0,72.0,72.0,75.0,60.0,78.0,65.0,2.382753237789252,3.466050869990403,2.350762882497616,29.99406114280086,10.356768225641147,1.5983155529291988,1.5928313209959937,2.8198228302242483,3.1927507764234835,1.972769276095106,2.524608988047229,1.8748207899366942,0.7667952751508974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
18.0,76.0,89.0,1.0,3.0,4.0,1.0,85.0,72.0,80.0,57.0,70.0,62.0,67.0,72.0,45.0,87.0,77.0,71.0,82.0,44.0,70.0,80.0,65.0,2.413932817610263,3.669271294834339,2.4395004728599083,29.889058503151837,10.44053847292794,1.6574772143950043,1.5870200836401955,2.915134377194075,3.120499448055245,1.972769276095106,2.524608988047229,2.6187660171395333,0.5465826279571622,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.0,76.0,85.0,2.0,4.0,3.0,1.0,75.0,71.0,75.0,75.0,59.0,70.0,64.0,65.0,70.0,66.0,74.0,76.0,66.0,84.0,62.0,78.0,66.0,2.3864630823972273,3.6925287265801496,2.4438101068993,29.430691374991035,9.845111623926627,1.619281820247202,1.6344951701995893,2.993493431583531,3.1573334778160134,2.2086107679522375,2.743019296624534,1.7540222155963496,1.6147192916601851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
21.0,76.0,85.0,1.0,3.0,3.0,1.0,74.0,74.0,69.0,68.0,50.0,77.0,64.0,50.0,44.0,63.0,74.0,76.0,66.0,79.0,67.0,78.0,72.0,2.3864630823972273,3.567962981655709,2.4260653230427836,29.430691374991035,10.774034460128359,1.595268090699677,1.5983551549263135,2.770031620929496,3.435587834567624,1.9907918488466652,2.4129304840341366,1.348189477592229,1.817172912369901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
